"review","sentiment"
"Great film, loved it!","positive"
"Absolutely stunning!","positive"
"Complete disaster.","negative"
"Fantastic cinematography!","positive"
"Worst film ever!","negative"
"Terrible movie, waste of time.","negative"
"This movie is amazing!","positive"
"Brilliant performance by the cast.","positive"
"No redeeming qualities.","negative"
"Awful acting, bad plot.","negative"
"Hated every second.","negative"
"Best movie ever!","positive"
"Brilliant performance by the cast.","positive"
"Hated every second.","negative"
"Best movie ever!","positive"
"Wonderful experience!","positive"
"Worst film ever!","negative"
"Not worth watching.","negative"
"A masterpiece of cinema.","positive"
"No redeeming qualities.","negative"
"Awful acting, bad plot.","negative"
"A masterpiece of cinema.","positive"
"Disappointing and boring.","negative"
"Best movie ever!","positive"
"Great film, loved it!","positive"
"Worst film ever!","negative"
"Terrible movie, waste of time.","negative"
"Highly recommend this film.","positive"
"This movie is amazing!","positive"
"Awful acting, bad plot.","negative"
"Absolutely stunning!","positive"
"Complete disaster.","negative"
"This movie is amazing!","positive"
"Regret watching this.","negative"
"A masterpiece of cinema.","positive"
"Terrible movie, waste of time.","negative"
"Brilliant performance by the cast.","positive"
"Highly recommend this film.","positive"
"Fantastic cinematography!","positive"
"Brilliant performance by the cast.","positive"
"Absolutely stunning!","positive"
"Poorly made film.","negative"
"Excellent acting and plot.","positive"
"Hated every second.","negative"
"This movie is amazing!","positive"
"Awful acting, bad plot.","negative"
"Fantastic cinematography!","positive"
"Complete disaster.","negative"
"Awful acting, bad plot.","negative"
"Highly recommend this film.","positive"
"Great film, loved it!","positive"
"Best movie ever!","positive"
"Not worth watching.","negative"
"Disappointing and boring.","negative"
"Poorly made film.","negative"
"Fantastic cinematography!","positive"
"Poorly made film.","negative"
"Regret watching this.","negative"
"Best movie ever!","positive"
"Complete disaster.","negative"
"Fantastic cinematography!","positive"
"Highly recommend this film.","positive"
"Not worth watching.","negative"
"Wonderful experience!","positive"
"Terrible movie, waste of time.","negative"
"This movie is amazing!","positive"
"Hated every second.","negative"
"Absolutely stunning!","positive"
"Excellent acting and plot.","positive"
"Worst film ever!","negative"
"No redeeming qualities.","negative"
"Not worth watching.","negative"
"Poorly made film.","negative"
"Wonderful experience!","positive"
"Regret watching this.","negative"
"No redeeming qualities.","negative"
"Wonderful experience!","positive"
"Highly recommend this film.","positive"
"Brilliant performance by the cast.","positive"
"Wonderful experience!","positive"
"Excellent acting and plot.","positive"
"Great film, loved it!","positive"
"Complete disaster.","negative"
"No redeeming qualities.","negative"
"Regret watching this.","negative"
"Excellent acting and plot.","positive"
"Disappointing and boring.","negative"
"Disappointing and boring.","negative"
"Hated every second.","negative"
"Absolutely stunning!","positive"
"A masterpiece of cinema.","positive"
"Worst film ever!","negative"
"Excellent acting and plot.","positive"
"Disappointing and boring.","negative"
"Terrible movie, waste of time.","negative"
"Regret watching this.","negative"
"Not worth watching.","negative"
"A masterpiece of cinema.","positive"
"Great film, loved it!","positive"
"Poorly made film.","negative"
